route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_11867585,"KOSZAROWA (Szpital)",1,826263,23,1,826263
A,3,3_11867636,"KOSZAROWA (Szpital)",1,826263,21,1,826263
A,3,3_11867685,"KOSZAROWA (Szpital)",1,826263,22,1,826263
A,3,3_11867813,"KOSZAROWA (Szpital)",1,826263,2,1,826263
A,3,3_11867826,"Zajezdnia Obornicka",0,830361,2,1,830361
A,3,3_11867841,"Zajezdnia Obornicka",0,830361,3,1,830361
A,3,3_11867872,"Zajezdnia Obornicka",0,830361,5,1,830361
A,3,3_11867687,"KOSZAROWA (Szpital)",1,830925,22,1,830925
A,3,3_11867797,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867799,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867801,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867803,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867805,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867807,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867809,"KOSZAROWA (Szpital)",1,830925,1,2,830925
A,3,3_11867815,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867817,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867819,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867821,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867823,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867825,"KOSZAROWA (Szpital)",1,830925,2,1,830925
A,3,3_11867828,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867830,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867832,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867834,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867836,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867838,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867840,"KOSZAROWA (Szpital)",1,830925,3,1,830925
A,3,3_11867843,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11867845,"KOSZAROWA (Szpital)",1,830925,4,1,830925
A,3,3_11867847,"KOSZAROWA (Szpital)",1,830925,4,1,830925
